"一级场域","二级场域","三级场域","二级业务含义"
"站内场域","搜索","搜索","用户主动检索关键词后进入商详，购买意图最明确"
"站内场域","推荐","核心推荐","系统算法分发（猜你喜欢类），用户被动触达"
"站内场域","推荐","其他推荐","系统算法分发（猜你喜欢类），用户被动触达"
"站内场域","频道","京东热卖","各类频道页/主题营销入口，受活动与频道运营节奏影响大"
"站内场域","频道","商品榜","各类频道页/主题营销入口，受活动与频道运营节奏影响大"
"站内场域","频道","东东农场","各类频道页/主题营销入口，受活动与频道运营节奏影响大"
"站内场域","频道","特价频道","各类频道页/主题营销入口，受活动与频道运营节奏影响大"
"站内场域","频道","京东直播","各类频道页/主题营销入口，受活动与频道运营节奏影响大"
"站内场域","频道","京东超市","各类频道页/主题营销入口，受活动与频道运营节奏影响大"
"站内场域","频道","我的京豆","各类频道页/主题营销入口，受活动与频道运营节奏影响大"
"站内场域","频道","品质外卖","各类频道页/主题营销入口，受活动与频道运营节奏影响大"
"站内场域","频道","新品-推荐页","各类频道页/主题营销入口，受活动与频道运营节奏影响大"
"站内场域","频道","抓大鹅","各类频道页/主题营销入口，受活动与频道运营节奏影响大"
"站内场域","频道","JOY游记","各类频道页/主题营销入口，受活动与频道运营节奏影响大"
"站内场域","频道","京东秒杀-推荐页","各类频道页/主题营销入口，受活动与频道运营节奏影响大"
"站内场域","频道","互动游戏","各类频道页/主题营销入口，受活动与频道运营节奏影响大"
"站内场域","频道","逛","各类频道页/主题营销入口，受活动与频道运营节奏影响大"
"站内场域","频道","京东小游戏","各类频道页/主题营销入口，受活动与频道运营节奏影响大"
"站内场域","频道","便宜包邮","各类频道页/主题营销入口，受活动与频道运营节奏影响大"
"站内场域","频道","国补/百补-推荐页","各类频道页/主题营销入口，受活动与频道运营节奏影响大"
"站内场域","频道","汪汪庄园","各类频道页/主题营销入口，受活动与频道运营节奏影响大"
"站内场域","频道","幸存者群岛","各类频道页/主题营销入口，受活动与频道运营节奏影响大"
"站内场域","频道","PLUS会员频道","各类频道页/主题营销入口，受活动与频道运营节奏影响大"
"站内场域","频道","超级明星","各类频道页/主题营销入口，受活动与频道运营节奏影响大"
"站内场域","频道","国补","各类频道页/主题营销入口，受活动与频道运营节奏影响大"
"站内场域","频道","试用领取","各类频道页/主题营销入口，受活动与频道运营节奏影响大"
"站内场域","频道","闲置换钱","各类频道页/主题营销入口，受活动与频道运营节奏影响大"
"站内场域","频道","京东京造","各类频道页/主题营销入口，受活动与频道运营节奏影响大"
"站内场域","频道","中外名酒","各类频道页/主题营销入口，受活动与频道运营节奏影响大"
"站内场域","频道","手机数码","各类频道页/主题营销入口，受活动与频道运营节奏影响大"
"站内场域","频道","特价外卖","各类频道页/主题营销入口，受活动与频道运营节奏影响大"
"站内场域","频道","超值换购","各类频道页/主题营销入口，受活动与频道运营节奏影响大"
"站内场域","频道","拍拍二手","各类频道页/主题营销入口，受活动与频道运营节奏影响大"
"站内场域","频道","京东旅行","各类频道页/主题营销入口，受活动与频道运营节奏影响大"
"站内场域","频道","自营秒送","各类频道页/主题营销入口，受活动与频道运营节奏影响大"
"站内场域","我的京东","我的京东","个人中心入口，站内二次触达"
"站内场域","购物车","购物车","购物车/再次购买，已有购买意向或复购路径"
"站内场域","首页","首页-其他","APP首页各坑位分发"
"站内场域","首页","首页-通栏一","APP首页各坑位分发"
"站内场域","首页","首页-吸顶通栏","APP首页各坑位分发"
"站内场域","商品","商品","商详页之间跳转/商品关联"
"站内场域","其他","消息中心","零散站内入口"
"站内场域","其他","小首页","零散站内入口"
"站内场域","游戏","种豆得豆","互动游戏引流"
"站内场域","活动","活动","活动页/会场"
"站内场域","店铺","店铺","店铺首页/店铺页自有流量"
"站内场域","内容","直播间","内容种草场域"
"站内场域","内容","短视频","内容种草场域"
"站内场域","内容","图文素材","内容种草场域"
