"编号","规则","完整说明","✅ 正确示例","❌ 错误示例","边界/例外","为什么这样要求","适用模块"
"1","占比类指标用进度条展示","占比/比例/百分比/贡献度/集中度等指标，用『进度条+数值』展示，不要只给裸数字。进度条固定10格，每格代表10%；实心块█数量=round(占比×10)，其余用空块░补齐；进度条后跟真实百分比（保留整数或1位小数，与指标口径一致）。同一列都是占比时整列统一进度条格式，保持对齐。【反向约束】只有占比类（分子/分母天然落在0–100%、表达占整体多少）才用进度条；绝对数值/计数（访客数/浏览量/件数）、金额/客单价/UV价值、可超100%的比率（如环比+276%）、趋势变化（↑↓/环比±%）一律不用进度条，改用普通数值或箭头，避免被误读成百分比。","流出集中度：████░░░░░░ 38%","①流出集中度：38%（占比却只给裸数字）；②访客数：██████░░░░ 60%（把规模量/绝对值套进度条，会被误读成百分比）；③环比：██████████ 276%（可超100%的比率用10格进度条会失真）","若渲染环境支持HTML/组件，可改用原生进度条控件；纯文本环境一律用Unicode块字符（█ ░）。判断标准：仅当指标是0–100%区间的占比时才用进度条，规模量/金额/可超100%比率/趋势一律不用","让商家一眼看出各项相对大小，而不用心算比较数字","全部模块"
"2","每个模块行数上限=7","每个模块（步骤/维度）下的列表或表格，明细行数最多7行。超过7行时按重要度（占比/变化量/成交贡献）降序取Top7，其余合并为一行'其他'或直接省略，并在表格下方标注总数。","竞品明细展示Top7后标注：（仅展示Top7，共12项）","把全部12个竞品/场域全铺出来，报告冗长；或为凑满7行输出无数据的空行","实际有意义的行不足7行时，有几行展示几行，不强行凑满7行","控制报告长度，避免大模型输出过长难以阅读","全部模块"
"3","隐藏全空列（只展示有数据的列）","列表/表格的列指标，只展示至少有一行有数据的列。若某列在当前所有参与展示的行里每一行都没有数据（空值/null/0且业务上等同无数据/'-'），则整列不展示，不输出该表头。判断粒度以'当前这张表实际参与展示的行'为准，逐列检查。","当'客单价'列所有场域都无数据时，直接不展示这一列","输出一整列全是空白或'-'的无效列；或因个别行缺失就删掉整列","只有整列全空才删列；个别行缺失用'-'占位即可，不删列","避免出现整列空白的无效列，让报告更干净","全部模块"
"4","名称类字段可点击跳转京东APP","报告中出现的商品/SKU/SPU/竞品名称，做成可点击链接，点击后唤起京东商城APP并直达对应商品详情页；APP未安装时降级到H5商详页。只有名称列做链接，数值列保持纯文本。","[某品牌A旗舰款](openapp.jdmobile://virtual?params={""category"":""jump"",""des"":""productDetail"",""sku"":""100012345678"",""skuId"":""100012345678""})","名称只是纯文本，无法点击跳转；或把数值列也做成链接","des固定productDetail，category固定jump，skuId两处都要填真实ID；降级兜底 https://item.jd.com/{skuId}.html；params若需URL编码按端内要求encode","让商家点击竞品/商品名直接跳到京东APP查看，形成可操作闭环","全部模块"
"5","结论文字精简","每个模块的分析结论控制在2-3句以内，避免大段铺陈。","净流出客户环比增12%，Top1竞品占38%且在加速抢量，竞争劣势扩大。","用一大段文字反复描述数据、堆砌形容词","","  ""配合行数限制，整体控制报告篇幅""","全部模块"
"6","场域层级是包含关系","末次场域分一级/二级/三级三层，从粗到细逐级下钻，是包含关系（一级⊃二级⊃三级）而非并列。同一条流量必然同时归属某个一级、某个二级、某个三级。","把'搜索''推荐''频道'识别为站内场域下的二级场域","把不同层级的场域（如一级'站内场域'和二级'搜索'）混在同一张表里对比","一级=站内场域（若有站外场域同理作一级并列）","解决大模型对一/二/三级识别不准、跨层混排的问题","场域诊断"
"7","场域诊断表=表头指标+行场域","诊断结果表格采用转置结构：表头（列）=指标名称（访客数/访客数占比/UV价值/访客-成交转化率/成交金额等），行名称（首列）=场域名称。","表头:访客数|访客数占比|UV价值|转化率；行:手动搜索/猜你喜欢/购物车…","把场域放表头、指标放行（结构反了）","一级场域可作为分组或汇总行，不必单独铺开整张表","统一表格结构，便于商家横向比较各场域在同一指标上的表现","场域诊断"
"8","场域优先展示二级","默认展示层级=二级场域（粒度适中）。仅当某个二级场域被定位为问题/机会需下钻时，才在其下展开对应三级场域。展示当前商品实际有流量的二级场域，按访客数占比或访客数变化量降序排列。","先展示搜索/推荐/频道等二级场域Top7，标注（仅展示Top7，共N个场域）","一上来就把三级场域全铺开，表格零碎冗长","超出7行按规则2取Top7；占比列按规则1用进度条；全空列按规则3隐藏","二级粒度既能定位问题又不过于零碎","场域诊断"
"9","未知入口默认归到二级'频道'","三级'频道'下入口数量多且随运营变化。模型遇到字典未列出的频道入口时，默认归到二级'频道'，不要新造二级层级。","遇到新的频道活动入口→归到二级'频道'","为一个没见过的入口新造一个二级场域名称","业务含义列可结合内部定义继续细化","频道入口会随运营频繁增减，避免模型乱造层级","场域诊断"
"10","流失分析必须输出两张表","流失分析的'流出去向'结论，必须用两张表呈现：表A整体流失概览 + 表B TOP5流失竞品明细。","同时给出表A和表B","只给一段文字描述流失，或只给其中一张表","","整体看规模+明细看对手，商家既知全局又知具体竞争对象","流失分析"
"11","表A=整体流失概览","展示本品整体的流出规模、净流失和集中度。结构为：指标+本期数值+环比变化。占比类指标（如流出集中度=Top1竞品占比）用进度条。行数≤7，只放整体层面关键指标。","流出成交客户数1860(↑12%)；净流失+540(劣势)；集中度████░░ 38%","把竞品明细也塞进整体概览表","净流失>0处于竞争劣势，≈0正常，<0处于优势，需带出判断词","先让商家看到整体竞争态势的全局","流失分析"
